"ds0.Instrument Unit","ds0.RunId","ds0.Barcode","ds0.Row","ds2..spotRow","ds2..spotCol","ds0.Exposure Time","ds0.Cycle","ds1.ID","js0.UniprotAccession","ds3.Median_SigmBg","ds3.Signal_Saturation"
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,25.0,124.0,"MYBB_513_525","P10244",-2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,50.0,124.0,"MYBB_513_525","P10244",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,7.0,100.0,124.0,"MYBB_513_525","P10244",-3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,8.0,5.0,124.0,"PLEK_106_118","P08567",20.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,8.0,10.0,124.0,"PLEK_106_118","P08567",44.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,8.0,25.0,124.0,"PLEK_106_118","P08567",108.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,8.0,50.0,124.0,"PLEK_106_118","P08567",225.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,8.0,100.0,124.0,"PLEK_106_118","P08567",455.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,9.0,5.0,124.0,"RBL2_632_644","Q08999",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,9.0,10.0,124.0,"RBL2_632_644","Q08999",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,9.0,25.0,124.0,"RBL2_632_644","Q08999",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,9.0,50.0,124.0,"RBL2_632_644","Q08999",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,9.0,100.0,124.0,"RBL2_632_644","Q08999",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,10.0,5.0,124.0,"VIGLN_289_301","Q00341",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,10.0,10.0,124.0,"VIGLN_289_301","Q00341",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,10.0,25.0,124.0,"VIGLN_289_301","Q00341",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,10.0,50.0,124.0,"VIGLN_289_301","Q00341",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,10.0,100.0,124.0,"VIGLN_289_301","Q00341",-7.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,11.0,5.0,124.0,"GRIK2_708_720","Q13002",135.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,11.0,10.0,124.0,"GRIK2_708_720","Q13002",273.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,11.0,25.0,124.0,"GRIK2_708_720","Q13002",706.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,11.0,50.0,124.0,"GRIK2_708_720","Q13002",1409.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,11.0,100.0,124.0,"GRIK2_708_720","Q13002",2797.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,12.0,5.0,124.0,"RADI_559_569","P35241",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,12.0,10.0,124.0,"RADI_559_569","P35241",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,12.0,25.0,124.0,"RADI_559_569","P35241",-2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,12.0,50.0,124.0,"RADI_559_569","P35241",-9.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,1.0,12.0,100.0,124.0,"RADI_559_569","P35241",-13.0,0.0
